ファイル名,タイトル,撮影日,ひとこと,カメラ,レンズ,焦点距離,シャッタースピード,F値,ISO感度
codex-clipboard-37e947ba-123d-4633-a624-64d6f1e2681e.jpg,シミュラクラ,2026/4/15,,Canon EOS 7D Mark II,EF40mm f/2.8 STM,40mm,1/800s,f/2.8,160
渇き.jpg,渇き,2026/1/27,,Canon EOS 7D Mark II,EF-S55-250mm f/4-5.6 IS STM,250mm,1/640s,f/5.6,100
20260126 京都大阪Day2-059.jpg,二人の世界,2026/1/26,,Canon 7D mark Ⅱ,EF-S18-55mm f/3.5-5.6 IS STM,24mm,1/80s,f/4,5000
20260126 京都大阪Day2-107.jpg,廻,2026/1/26,世界も、時も、廻る。,Canon 7D mark Ⅱ,EF-S18-55mm f/3.5-5.6 IS STM,22mm,1/5s,f/5,125
codex-clipboard-328e3264-4772-4c2b-8b63-bdace728b673.jpg,切り取る,2026/1/25,庭の手入れムズそう,Canon EOS 7D Mark II,EF-S18-55mm f/3.5-5.6 IS STM,45mm,1/160s,f/8,800
20260123 上野-027.jpg,睨,2026/1/23,彼は先に何を見るのか。,Canon 7D mark Ⅱ,EF-S55-250mm f/4-5.6 IS STM,250mm,1/250s,f/10,160
codex-clipboard-67414134-7629-414e-b81e-68630e6227b5.jpg,selfie,2025/8/12,今日は、被写体兼撮影者。,Canon EOS 7D Mark II,EF40mm f/2.8 STM,40mm,1/50s,f/2.8,1600
codex-clipboard-05f65781-7de1-42b0-8ffe-4eca6b6f525b.jpg,habit,2024/9/26,,Canon EOS Kiss X10,TAMRON 18-200mm F/3.5-6.3 DiII VC B018,61mm,1/200s,f/5,320
codex-clipboard-49cc5d05-9ca2-4961-a4b0-4e8b9d91f699.jpg,開花,2023/8/5,,Canon EOS Kiss X5,EF-S18-55mm f/3.5-5.6 IS II,18mm,1/125s,f/3.5,400
codex-clipboard-907550e2-dd70-4ccd-b68c-70951400af19.jpg,今日は主役,2023/7/12,木漏れ日のスポットライト。,Canon EOS Kiss X5,EF-S18-55mm f/3.5-5.6 IS II,21mm,1/125s,f/5,100
codex-clipboard-9a595f95-0bf1-4b5a-8c1d-0139e2fe1e91.jpg,眠らない街,2023/7/8,,Canon EOS Kiss X5,EF-S18-55mm f/3.5-5.6 IS II,55mm,1/25s,f/5.6,3200
